"State","Concentration"
"dead",1.6907
"dead",1.6907
"dead",1.6907
"dead",1.6907
"dead",1.6907
"dead",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"alive",1.6907
"dead",1.7242
"dead",1.7242
"dead",1.7242
"dead",1.7242
"dead",1.7242
"dead",1.7242
"dead",1.7242
"dead",1.7242
"dead",1.7242
"dead",1.7242
"dead",1.7242
"dead",1.7242
"dead",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"alive",1.7242
"dead",1.7552
"dead",1.7552
"dead",1.7552
"dead",1.7552
"dead",1.7552
"dead",1.7552
"dead",1.7552
"dead",1.7552
"dead",1.7552
"dead",1.7552
"dead",1.7552
"dead",1.7552
"dead",1.7552
"dead",1.7552
"dead",1.7552
"dead",1.7552
"dead",1.7552
"dead",1.7552
"alive",1.7552
"alive",1.7552
"alive",1.7552
"alive",1.7552
"alive",1.7552
"alive",1.7552
"alive",1.7552
"alive",1.7552
"alive",1.7552
"alive",1.7552
"alive",1.7552
"alive",1.7552
"alive",1.7552
"alive",1.7552
"alive",1.7552
"alive",1.7552
"alive",1.7552
"alive",1.7552
